1.0333340675797640e+01	9.2027794652168005e-01	2.6790134543854918e+00	
1.0333341117160304e+01	9.2027789919101222e-01	2.6790133620998859e+00	
1.0333343027633617e+01	9.2027765448887666e-01	2.6790134020418455e+00	
1.0333345215211548e+01	9.2027737200638793e-01	2.6790134828257943e+00	
1.0333347681396681e+01	9.2027705156211370e-01	2.6790136014731698e+00	
1.0333350415339975e+01	9.2027669463004869e-01	2.6790137542521792e+00	
1.0333353391497234e+01	9.2027630465303190e-01	2.6790139366095569e+00	
1.0333356567830581e+01	9.2027588728320364e-01	2.6790141430944678e+00	
1.0333359884857769e+01	9.2027545050898807e-01	2.6790143673075604e+00	
1.0333363265836777e+01	9.2027500463009726e-01	2.6790146019068732e+00	
1.0333366618318619e+01	9.2027456204940528e-01	2.6790148386972414e+00	
1.0333369837203685e+01	9.2027413686355186e-01	2.6790150688209220e+00	
1.0333372809300982e+01	9.2027374425238617e-01	2.6790152830553580e+00	
1.0333375419224689e+01	9.2027339968939947e-01	2.6790154722100041e+00	
1.0333377556286761e+01	9.2027311801884482e-01	2.6790156275996808e+00	
1.0333379121880068e+01	9.2027291246721155e-01	2.6790157415585338e+00	
1.0333380036719678e+01	9.2027279367370840e-01	2.6790158079483932e+00	
1.0333380247244509e+01	9.2027276883317144e-01	2.6790158226098755e+00	
1.0333379730495853e+01	9.2027284104288609e-01	2.6790157837052515e+00	
1.0333378496892033e+01	9.2027300893106789e-01	2.6790156919094956e+00	
1.0333376590504821e+01	9.2027326661979414e-01	2.6790155504196687e+00	
1.0333374086694880e+01	9.2027360404149439e-01	2.6790153647714359e+00	
1.0333371087249690e+01	9.2027400758979172e-01	2.6790151424727680e+00	
1.0333367713449396e+01	9.2027446104774568e-01	2.6790148924858310e+00	
1.0333364097722956e+01	9.2027494670482346e-01	2.6790146246057325e+00	
1.0333360374713468e+01	9.2027544655297910e-01	2.6790143487964411e+00	
1.0333356672623500e+01	9.2027594344525698e-01	2.6790140745481237e+00	
1.0333353105651430e+01	9.2027642210836225e-01	2.6790138103157983e+00	
1.0333349768167974e+01	9.2027686992227431e-01	2.6790135630872207e+00	
1.0333346731045584e+01	9.2027727741167209e-01	2.6790133381104955e+00	
1.0333344040278995e+01	9.2027763843064336e-01	2.6790131387915528e+00	
1.0333341717765805e+01	9.2027795005823698e-01	2.6790129667517566e+00	
1.0333339763889230e+01	9.2027821225275808e-01	2.6790128220190645e+00	
1.0333338161390376e+01	9.2027842733343801e-01	2.6790127033147768e+00	
1.0333336879948085e+01	9.2027859936738010e-01	2.6790126083927177e+00	
1.0333335880900160e+01	9.2027873353757517e-01	2.6790125343889217e+00	
1.0333335121625352e+01	9.2027883555633738e-01	2.6790124781461966e+00	
1.0333334559237576e+01	9.2027891117080229e-01	2.6790124364877577e+00	
1.0333334153394802e+01	9.2027896578694812e-01	2.6790124064252825e+00	
1.0333333868169516e+01	9.2027900421924191e-01	2.6790123852974590e+00	
1.0333333673045988e+01	9.2027903055717775e-01	2.6790123708438558e+00	
1.0333333543190689e+01	9.2027904812911621e-01	2.6790123612249443e+00	
1.0333333459183367e+01	9.2027905953832567e-01	2.6790123550021860e+00	
1.0333333406401872e+01	9.2027906674537108e-01	2.6790123510924553e+00	
1.0333333374233089e+01	9.2027907117378438e-01	2.6790123487095943e+00	
1.0333333355245582e+01	9.2027907382085239e-01	2.6790123473031260e+00	
1.0333333344417570e+01	9.2027907536099929e-01	2.6790123465010662e+00	
1.0333333338473990e+01	9.2027907623456251e-01	2.6790123460608171e+00	
1.0333333335353901e+01	9.2027907671911702e-01	2.6790123458297166e+00	
1.0333333333806525e+01	9.2027907698357669e-01	2.6790123457151127e+00	
1.0333333333100397e+01	9.2027907712715507e-01	2.6790123456628252e+00	
1.0333333332823809e+01	9.2027907720609570e-01	2.6790123456423554e+00	
1.0333333332754192e+01	9.2027907725118019e-01	2.6790123456372177e+00	
1.0333333332776338e+01	9.2027907727868918e-01	2.6790123456388772e+00	
1.0333333332833485e+01	9.2027907729696834e-01	2.6790123456431307e+00	
1.0333333332899308e+01	9.2027907731018888e-01	2.6790123456480268e+00	
1.0333333332962612e+01	9.2027907732041037e-01	2.6790123456527382e+00	
1.0333333333019326e+01	9.2027907732866210e-01	2.6790123456569614e+00	
1.0333333333068527e+01	9.2027907733548553e-01	2.6790123456606292e+00	
1.0333333333110566e+01	9.2027907734119330e-01	2.6790123456637671e+00	
1.0333333333146216e+01	9.2027907734599135e-01	2.6790123456664321e+00	
1.0333333333176331e+01	9.2027907735003045e-01	2.6790123456686885e+00	
1.0333333333201715e+01	9.2027907735343084e-01	2.6790123456705950e+00	
1.0333333333223077e+01	9.2027907735629100e-01	2.6790123456722048e+00	
1.0333333333241034e+01	9.2027907735869463e-01	2.6790123456735624e+00	
